"","Year","Grid","GridYear","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones","mast","Exp","EXP_label"
"50",2002,"KL","KL2002",85,49.3529411764706,2.35521355600171,2.05096907697608,165.992467120896,"n","c",1
"51",2002,"LL","LL2002",86,33.953488372093,1.69726158057159,1.00806304825429,121.599023017485,"n","c",1
"52",2002,"SU","SU2002",86,21.3488372093023,1.48459025636092,1.21606181644009,68.0238530444481,"n","c",1
"53",2003,"KL","KL2003",85,12.7647058823529,1.3867000734311,2.35521355600171,34.6654190817478,"n","c",1
"54",2003,"LL","LL2003",86,10.1046511627907,1.04500852287906,1.69726158057159,27.9812921057927,"n","c",1
"55",2003,"SU","SU2003",86,4.72093023255814,0.485929167142752,1.48459025636092,13.2031642105541,"n","c",1
"56",2004,"KL","KL2004",84,15.0595238095238,1.17071970147084,1.3867000734311,46.096736385266,"n","c",1
"57",2004,"LL","LL2004",86,9.37209302325581,0.725049105255139,1.04500852287906,28.2112026440542,"n","c",1
"58",2004,"SU","SU2004",86,10.2093023255814,0.91907742081358,0.485929167142752,30.0674773345283,"n","c",1
"59",2005,"AG","AG2005",126,0.277777777777778,0.0722617448914155,NA,0.598469408832008,"n","f",19
"60",2005,"JO","JO2005",183,240.092896174863,4.5003902257521,NA,1008.14265540007,"y","c",1
"61",2005,"KL","KL2005",84,207.869047619048,4.18267142654033,1.17071970147084,858.346892693929,"y","c",1
"62",2005,"LL","LL2005",86,23.0348837209302,1.2548957999082,0.725049105255139,74.5804227203146,"n","c",1
"63",2005,"SU","SU2005",86,113.581395348837,2.54815919504746,0.91907742081358,468.052234267828,"y","c",1
"64",2006,"AG","AG2006",126,6.63492063492064,0.536180363609609,0.0722617448914155,20.1458868994512,"n","f",19
"65",2006,"CH","CH2006",127,2.80314960629921,0.486643758533918,NA,6.72555362032129,"n","c",1
"66",2006,"JO","JO2006",200,0.09,0.0301534263013063,4.5003902257521,0.176711508579747,"n","c",1
"67",2006,"KL","KL2006",84,1.45238095238095,0.159305309230172,4.18267142654033,3.9287233594969,"n","c",1
"68",2006,"LL","LL2006",86,6.53488372093023,0.591325321241375,1.2548957999082,20.6219081922054,"n","f",19
"69",2006,"SU","SU2006",86,1.12790697674419,0.253066354566967,2.54815919504746,2.42575606254974,"n","c",1
"70",2007,"AG","AG2007",126,42.2142857142857,1.98444134200992,0.536180363609609,146.428660693778,"n","f",19
"71",2007,"CH","CH2007",127,39.8031496062992,2.00019009953164,0.486643758533918,132.811384146152,"n","c",1
"72",2007,"JO","JO2007",200,14.27,1.37394379169892,0.0301534263013063,40.5551395110136,"n","f",19
"73",2007,"KL","KL2007",84,38.5357142857143,1.96485016856578,0.159305309230172,132.088446374998,"n","c",1
"74",2007,"LL","LL2007",86,70.4883720930233,2.72362250153151,0.591325321241375,251.369538920376,"n","f",19
"75",2007,"SU","SU2007",86,15.6627906976744,1.30972208855191,0.253066354566967,45.7284172959744,"n","c",1
"76",2008,"AG","AG2008",126,2.29365079365079,0.236200567799911,1.98444134200992,6.50854377587543,"n","f",19
"77",2008,"CH","CH2008",127,5.10236220472441,0.657574444920065,2.00019009953164,13.6502544140484,"n","c",1
"78",2008,"JO","JO2008",200,8.62,0.650819890600662,1.37394379169892,29.193239070349,"n","f",19
"79",2008,"KL","KL2008",84,12.0833333333333,0.775111227419282,1.96485016856578,43.4653617369762,"n","c",1
"80",2008,"LL","LL2008",86,2.6046511627907,0.521305714462981,2.72362250153151,6.02406448294596,"n","f",19
"81",2008,"SU","SU2008",86,3.05813953488372,0.458215034498528,1.30972208855191,8.21132296532886,"n","c",1
"82",2009,"AG","AG2009",126,11.6825396825397,0.900470233416917,0.236200567799911,35.8932026362663,"n","f",19
"83",2009,"CH","CH2009",125,13.232,1.13824921434209,0.657574444920065,39.5822192293767,"n","c",1
